Date,Steps ,Calories,Water,Sleep (hrs),Weight (Kg),Weekly weight change (Kg)
11/19/2025,3406,1272,8,7,98,
11/20/2025,593,1434,6,8,,
11/21/2025,5601,1756,7,7,,
11/22/2025,7060,1068,8,6,,
11/23/2025,4910,2165,7,8,,
11/24/2025,675,865,6,8,,
11/25/2025,6287,2037,8,6,,
11/26/2025,3599,2168,6,8,97.5,-0.5
11/27/2025,11526,1098,9,7.5,,
11/28/2025,7053,1686,7,7,,
11/29/2025,3259,1447,8,9,,
11/30/2025,10242,1207,8,8,,
12/1/2025,5110,1457,7,7,,
12/2/2025,8790,2140,8,6.5,,
12/3/2025,8117,1731,7,8.5,96.5,-1
12/4/2025,14350,1789,10,5,,
12/5/2025,6742,1484,8,8,,
12/6/2025,2944,1631,7,7,,
12/7/2025,1146,1877,7,6,,
12/8/2025,7303,1509,8,7,,
12/9/2025,6050,1647,6,6,,
12/10/2025,9561,1499,6,8,96.7,0.2
12/11/2025,12561,1915,8,8,,
12/12/2025,11469,1928,7,7,,
12/13/2025,2774,3028,9,6,,
12/14/2025,11266,710,7,8,,
12/15/2025,10183,2327,8,7,,
12/16/2025,6525,1648,5,8,,
12/17/2025,7706,1989,6,7,97,0.3
12/18/2025,11166,1672,7,8,,
12/19/2025,2228,2105,4,6,,
12/20/2025,11384,1946,6,7,,
12/21/2025,2763,1046,6,6,,
12/22/2025,12114,1469,8,7,,
12/23/2025,12056,1181,4,6,,
12/24/2025,6153,1868,6,6,97.4,0.4
12/25/2025,5790,1983,6,8,,
12/26/2025,12135,1229,8,7,,
12/27/2025,11355,936,4,4,,
12/28/2025,7216,1619,7,6,,
12/29/2025,10661,1789,7,8,,
12/30/2025,7911,1797,8,6,,
12/31/2025,5601,2111,6,8,97,-0.4
1/1/2026,2641,1412,8,6,,
1/2/2026,3002,1847,5,8,,
1/3/2026,854,941,7,7,,
1/4/2026,2683,1637,6,4,,
1/5/2026,6302,1960,8,8,,
1/6/2026,5186,1188,5,5,,
1/7/2026,2475,1482,5,4,97.7,0.7
1/8/2026,7971,2249,7,3,,
1/9/2026,2890,1009,5,8,,
1/10/2026,3569,1047,6,6,,
1/11/2026,1776,1388,5,7,,
1/12/2026,1153,1797,6,7,,
1/13/2026,5241,996,6,8,,
1/14/2026,3583,980,6,7,96.1,-1.6
1/15/2026,5872,1783,5,5,,
1/16/2026,8811,1678,4,6,,
1/17/2026,4230,2014,5,7,,
1/18/2026,7117,2872,5,7,,
1/19/2026,1833,1832,4,7,,
1/20/2026,6591,1274,5,7,,
1/21/2026,9882,2297,6,8,97.1,1
1/22/2026,4502,1881,7,7,,
1/23/2026,14929,1758,6,8,,
1/24/2026,3506,1604,5,6,,
1/25/2026,9128,2016,7,8,,
1/26/2026,2786,1299,7,7,,
1/27/2026,2474,1844,6,8,,
1/28/2026,2098,1481,5,7,97,-0.1
1/29/2026,2029,1696,5,7,,
1/30/2026,6886,1143,6,7,,
1/31/2026,1708,1754,8,8,,
2/1/2026,2145,1787,7,6,,
2/2/2026,3867,1954,6,7,,
2/3/2026,7272,1379,8,7,,
2/4/2026,1953,1535,7,6,96.8,-0.2
